# Constructed from biom file
#OTU ID	PCR-neg-1	PCR-neg-2	Sa-01	Sa-05	Sem-01	Sem-03	Sk-01	Sk-04	V-01	V-03
HE681326.1.1533	0.0	0.0	37.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ460203.1.1388	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0
AM420076.1.1495	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ453306.1.1386	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GU227163.1.1450	0.0	0.0	13.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0
AJ275038.1.1439	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0
CP017038.556177.557715	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ338722.1.1525	0.0	0.0	0.0	220.0	0.0	0.0	0.0	0.0	0.0	0.0
AM420095.1.1471	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0
JF240039.1.1322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0
FJ557719.1.1386	0.0	0.0	24.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ983115.1.1241	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
JF139697.1.1284	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0
AM420032.1.1494	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ155708.1.1366	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
HL281973.2.1492	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HM120209.1.1377	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0
EU536498.1.1387	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0
AJ871435.1.1451	0.0	0.0	0.0	0.0	0.0	0.0	39.0	22.0	0.0	0.0
JQ449390.1.1395	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ557325.1.1390	0.0	0.0	4.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0
GEMC01068557.118.1431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0
JQ460061.1.1433	0.0	0.0	4.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
AY207057.1.1449	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HM120210.1.1395	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MH447050.1.1256	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0
JF228738.1.1352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0
AF084850.1.1436	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
DQ802026.1.1286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0
KF061618.1.1340	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0
KF099374.1.1357	0.0	0.0	0.0	0.0	6.0	18.0	0.0	0.0	0.0	0.0
KF084610.1.1355	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JF131578.1.1367	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ456138.1.1363	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HE681325.1.1643	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ100970.1.1342	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJ540309.1.1413	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB671762.1.1477	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FM874023.1.1417	0.0	0.0	0.0	0.0	0.0	0.0	24.0	25.0	0.0	0.0
AB547702.1.1491	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ338720.1.1529	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ476871.1.1400	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
EU237492.1.1458	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0
KF101348.1.1363	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KY476240.1.1200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0
Y07849.1.1322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0
KF102009.1.1359	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KC814651.1.1234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
FM873623.1.1443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0
AY959006.1.1513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	41.0
JQ473836.1.1358	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
DQ796136.1.1225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
JQ452595.1.1426	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KU560277.1.1424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0
AJ290758.1.1466	0.0	0.0	20.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
AB547676.1.1493	0.0	0.0	0.0	0.0	24.0	50.0	0.0	0.0	0.0	0.0
AJ279038.1.1506	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0
KF088666.1.1342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
JF506640.1.1362	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
EU909647.1.1362	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0
EF071257.1.1224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
AY362906.1.1362	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
KF098392.1.1347	0.0	0.0	3.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
KJ127996.1.1518	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0
DQ898156.101048.102537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0
GQ004952.1.1371	0.0	0.0	0.0	0.0	5.0	15.0	0.0	0.0	0.0	0.0
JQ466905.1.1388	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB166881.1.1416	0.0	0.0	0.0	0.0	0.0	0.0	4.0	28.0	0.0	0.0
KF037547.1.1466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0
JN379052.1.1495	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EU775692.1.1352	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB009828.1.1461	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0
DQ195856.1.1363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0
KF101799.1.1351	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LN810637.1.1401	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0
EU462389.1.1390	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0
CP011131.1024009.1025541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0
MF045107.1.1412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
GQ092782.1.1359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0
FJ509937.1.1383	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ460226.1.1424	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0
GASZ01002509.15.1691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
JQ474102.1.1405	0.0	0.0	27.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
